ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC812,MD Emily,,Yes,Quattro Line
CTC813,MD Mindy,,Yes,Quattro Line
CTC814,PM Bambi,,Yes,
CTC815,PM Splash,,Yes,
CTC816,PM Mika,,Yes,
CTC878,Kuro,,No,
CTC879,ECLS Hiroaki,,No,
CTC880,Akito,,No,
CTC881,Toriko,,No,
CTC882,Aki,,No,
CTC883,ECLS Biscotte,,No,
CTC884,Biscuit,,No,
CTC885,ECLS Rosie,,No,
CTC886,TnS Teruko,,Yes,
CTC887,TnS Fawny,,Yes,
CTC888,TnS Hibiki,,Yes,
CTC889,TnS Shuga,,Yes,
CTC890,ECLS Kyoko,,No,
CTC891,ECLS Hikari,,No,
CTC892,Jin,,No,
CTC893,TnS Mikan,,Yes,
CTC894,Rei,,No,
CTC895,TnS Mayumi,,Yes,
CTC896,Mohanah Auguste,,No,
CTC897,MS Prune,,No,
CTC898,MafiaSpade Marvel,,Yes,
CTC899,TnS Mitsurin,,Yes,
CTC900,TnS Mizore,,Yes,
CTC901,TnS Mamoru,,Yes,
CTC902,FF Kotoe,,No,
CTC903,TnS Hikari,,Yes,
CTC904,AM Sayuki,,No,
CTC905,TnS Bourbillon,,Yes,
CTC906,Fripouillette,,No,
CTC907,Nozomi,,No,
CTC908,Miyuna,,No,
CTC909,Kinder,,No,
CTC910,ECLS Ruby,,No,
CTC911,TnS Ayame,,Yes,
CTC912,C&C Kenshin,,No,
CTC913,TnS Guimauve,,Yes,
CTC914,C&C Suki,,No,
CTC915,TnS Hinata,,Yes,
CTC916,Rina,,No,
CTC917,TOM Haiko,,No,
CTC918,Kaguya,,No,
CTC919,TOM Coeur De Chauffe,,No,
CTC920,Ghost,,No,
CTC921,TOM Tilikum,,No,
CTC922,FKM Plume d'argent,,No,
CTC923,MS Sourcil,,No,
CTC924,SIL Mithril,,No,
CTC925,FKM Marlin,,No,
CTC926,FKM Api,,No,
CTC927,OHH SplashGordon,,No,
CTC928,MS Skweetheart,,No,
CTC929,FKM Jiraiya,,No,
CTC930,FKM Ruchka,,No,
CTC931,FKM Hypnose,,No,
CTC932,Aurea's Chinchidou,,No,
CTC933,FKM Olovka,,No,
CTC934,BB Nemo,,No,
CTC935,TnS Zeroyo,,Yes,
CTC936,TnS Towa,,Yes,
CTC937,TnS Seiko,,Yes,
CTC938,TnS Aoki,,Yes,
CTC939,Zenko,,No,
CTC940,TnS Takara,,Yes,
CTC941,Rinku,,No,
CTC942,TnS Kanade,,Yes,
CTC943,TnS Asaki,,Yes,
CTC944,TnS Haruna,,Yes,
CTC945,FF Suzaku,,No,
CTC946,Hymaya,,No,
CTC947,Satoru,,No,
CTC948,Iseko,,No,
CTC949,Melie,,No,
CTC950,TnS Misao,,Yes,
CTC951,TnS Nanami,,Yes,
CTC952,TnS Mizuki,,Yes,
CTC953,TnS Jigoku,,Yes,
CTC954,TnS Yuushou,,Yes,
CTC955,TnS Dankei,,Yes,
CTC956,TnS Likka,,Yes,
CTC957,MLP Brie,,No,
CTC958,TnS Yasu,,Yes,
CTC959,KW Kieran,,No,
CTC960,TnS Dolly,,Yes,
CTC961,HV Dash,,No,
CTC962,TnS Azami,,Yes,
CTC963,TnS Shigure,,Yes,
CTC964,TnS Kumi,,Yes,
CTC965,Etsu,,No,
CTC966,Yaki,,No,
CTC967,TnS Himeko,,Yes,
CTC968,TnS Wakana,,Yes,
CTC969,MoW Yutsuki,,No,
CTC97,M3 Mika,,No,
CTC970,TnS Koi,,Yes,
CTC971,TnS Kami,,Yes,
CTC972,TnS Ibuki,,Yes,
CTC973,TnS Wataru,,Yes,
CTC974,TnS Yoko,,Yes,
CTC975,TnS Kanon,,Yes,
CTC976,TnS Itoe,,Yes,
CTC977,TnS Iwako,,Yes,
CTC978,Kumon,,No,
CTC979,Akiho,,No,
CTC98,MLP Violet,CTU2,No,Pawfriends Line
CTC980,TnS Ningyo,,Yes,
CTC981,TnS Bimyo,,Yes,
CTC982,TnS Shoji,,Yes,
CTC983,TnS Motoo,,Yes,
CTC984,TnS Sunao,,Yes,
CTC985,TnS Itako,,Yes,
CTC986,Iwa,,No,
CTC99,MLP Vajen,CTU2,No,Pawfriends Line
CTC990,M3 Rumi,CTU2,Yes,Legacy Red Line; Polish Line
CTC991,M3 Zaya,CTU2,Yes,
CTC992,M3 Tova,CTU2,Yes,
CTC993,M3 Tarin,CTU2,Yes,
